GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-J01;    Akute Sinusitis;3;4;5;6;4;2;6;5;5;6
ICD10-J02;    Akute Pharyngitis;3;1;1;4;2;-;8;2;4;5
ICD10-J03;    Akute Tonsillitis;5;4;5;1;5;2;4;4;1;4
ICD10-J04;    Akute Laryngitis und Tracheitis;17;12;11;14;9;13;14;16;12;15
ICD10-J05;    Akute obstruktive Laryngitis (Krupp) und Epiglotti;5;3;1;6;4;4;8;1;5;-
ICD10-J06;    Infektionen an den oberen Atemwegen;45;31;39;36;49;46;55;52;69;60
ICD10-J09-J18;  Grippe und Pneumonie;29899;28390;27293;28212;31841;25893;31058;27896;30622;33688
ICD10-J09;    Grippe d. zoonotische, pandenmische Influenzaviren;55;36;95;7;86;15;87;78;93;98
ICD10-J10;    Grippe durch saisonale Influenzaviren;40;12;40;19;189;24;351;161;728;2015
ICD10-J11;    Grippe, Viren nicht nachgewiesen;12;5;8;4;22;6;42;35;78;137
ICD10-J12;    Viruspneumonie, anderenorts nicht klassifiziert;47;41;58;45;67;46;75;91;181;238
ICD10-J13;    Pneumonie durch Streptococcus pneumoniae;301;300;276;175;203;142;166;175;236;251
ICD10-J14;    Pneumonie durch Haemophilus influenzae;81;85;89;91;117;111;135;98;125;142
ICD10-J15;    Pneumonie durch Bakterien, ao.n.klass.;5039;5017;4730;4845;4650;4104;4617;4673;6129;7368
ICD10-J16;    Pneumonie d. sonst. Infektionserreger, ao.n.klass.;196;185;185;155;118;120;145;136;140;141
ICD10-J17;    Pneumonie bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-J18;    Pneumonie, Erreger nicht näher bezeichnet;24128;22709;21812;22871;26389;21325;25440;22449;22912;23298
ICD10-J20-J22;  Sonstige akute Infektionen der unteren Atemwege;1728;1352;1429;1703;2052;1707;2436;2010;2722;2541
ICD10-J20;    Akute Bronchitis;1110;868;873;1044;1202;879;1298;1018;1412;1292
ICD10-J21;    Akute Bronchiolitis;18;10;8;7;11;4;10;5;18;9
ICD10-J22;    Akute Infektion der unteren Atemwege, n.n.bez.;600;474;548;652;839;824;1128;987;1292;1240
ICD10-J30-J39;  Sonstige Krankheiten der oberen Atemwege;82;106;116;97;135;89;101;122;84;804
ICD10-J30;    Vasomotorische und allergische Rhinopathie;-;-;1;-;-;-;-;-;-;-
ICD10-J31;    Chronische Rhinitis, Rhinopharyngitis und Pharyngi;1;-;-;-;1;1;1;1;-;-
ICD10-J32;    Chronische Sinusitis;2;4;7;6;44;5;8;6;6;169
ICD10-J33;    Nasenpolyp;-;-;1;-;2;1;1;3;-;-
ICD10-J34;    Sonstige Kh. der Nase und der Nasennebenhöhlen;3;8;11;5;1;5;8;3;-;419
ICD10-J35;    Chron. Krankheiten der Gaumen- und Rachenmandeln;5;8;10;3;4;2;5;1;3;111
ICD10-J36;    Peritonsillarabszess;6;4;11;3;7;5;5;6;6;9
ICD10-J37;    Chronische Laryngitis und Laryngotracheitis;-;-;-;-;1;1;-;2;2;2
ICD10-J38;    Kh. der Stimmlippen u. des Kehlkopfes, ao.n.klass.;31;32;43;40;37;31;33;45;29;47
ICD10-J39;    Sonstige Krankheiten der oberen Atemwege;34;50;32;40;38;38;40;55;38;47
ICD10-J40-J47;  Chronische Krankheiten der unteren Atemwege;9092;8086;8788;8864;10273;9108;10897;10352;11282;11364
ICD10-J40;    Bronchitis, nicht als akut oder chronisch bez.;273;188;167;141;210;165;156;149;161;134
ICD10-J41;    Einfache u.schleimig-eitrige chronische Bronchitis;84;84;77;80;57;66;60;52;74;55
ICD10-J42;    Nicht näher bezeichnete chronische Bronchitis;21;25;15;20;15;21;26;26;30;30
ICD10-J43;    Emphysem;62;55;50;60;46;67;55;46;57;59
ICD10-J44;    Sonstige chronische obstruktive Lungenkrankheit;8547;7657;8390;8481;9860;8708;10488;9977;10850;10961
ICD10-J45;    Asthma bronchiale;36;27;29;29;27;25;53;46;54;51
ICD10-J46;    Status asthmaticus;63;41;47;41;45;43;39;36;39;50
ICD10-J47;    Bronchiektasen;6;9;13;12;13;13;20;20;17;24
ICD10-J60-J70;  Lungenkrankheiten durch exogene Substanzen;8406;8431;7910;8212;8800;8390;9092;8945;9366;9470
ICD10-J60;    Kohlenbergarbeiter-Pneumokoniose;1;3;3;1;2;1;5;4;2;4
ICD10-J61;    Pneumokoniose d.Asbest u.sonst.anorganische Fasern;9;15;8;11;15;15;16;17;24;16
ICD10-J62;    Pneumokoniose durch Quarzstaub;18;21;19;20;19;14;21;15;23;12
ICD10-J63;    Pneumokoniose durch sonstige anorganische Stäube;4;1;4;1;1;2;1;-;-;2
ICD10-J64;    Nicht näher bezeichnete Pneumokoniose;3;1;3;2;-;4;3;1;-;4
ICD10-J65;    Pneumokoniose in Verbindung mit Tuberkulose;-;3;3;3;1;1;1;-;2;-
ICD10-J66;    Kh. der Atemwege d. spezifischen organischen Staub;-;-;-;-;1;-;1;1;-;-
ICD10-J67;    Allergische Alveolitis durch organischen Staub;19;17;12;14;13;17;32;35;48;38
ICD10-J68;    Kh. der Atmungsorgane d.Einatmen v.chem.Substanzen;11;7;13;11;8;8;9;16;13;7
ICD10-J69;    Pneumonie durch feste und flüssige Substanzen;8297;8323;7777;8090;8653;8268;8932;8775;9176;9305
ICD10-J70;    Kh. der Atmungsorgane d. sonst. exogene Substanzen;44;40;68;59;87;60;71;81;78;82
ICD10-J80-J84;  Sonst.Kh.d.Atmungsorg.,hpts.Interstitium betreff.;1565;1551;1658;1569;1767;1814;2011;2254;2103;2104
ICD10-J80;    Atemnotsyndrom des Erwachsenen (ARDS);420;465;532;462;688;611;781;890;780;826
ICD10-J81;    Lungenödem;257;187;228;180;136;157;139;127;97;101
ICD10-J82;    Eosinophiles Lungeninfiltrat, ao.n.klass.;2;1;8;1;1;9;1;5;4;1
ICD10-J84;    Sonstige interstitielle Lungenkrankheiten;886;898;890;926;942;1037;1090;1232;1222;1176
ICD10-J85-J86;  Purulente u. nekrot. Kh.-Zust. d. unteren Atemwege;708;795;759;818;832;746;906;842;965;935
ICD10-J85;    Abszess der Lunge und des Mediastinums;184;172;158;167;184;144;173;151;181;169
ICD10-J86;    Pyothorax;524;623;601;651;648;602;733;691;784;766
ICD10-J90-J94;  Sonstige Krankheiten der Pleura;1056;998;990;1049;988;1041;1018;1040;1010;981
ICD10-J90;    Pleuraerguss, anderenorts nicht klassifiziert;638;586;578;627;584;598;555;576;519;528
ICD10-J91;    Pleuraerguss bei ao. klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-J92;    Pleuraplaques;1;1;1;1;1;-;2;1;4;1
ICD10-J93;    Pneumothorax;259;270;272;265;263;288;279;271;310;296
ICD10-J94;    Sonstige Krankheitszustände der Pleura;158;141;139;156;140;155;182;192;177;156
ICD10-J95-J99;  Sonstige Krankheiten des Atmungssystems;4292;4222;4061;4341;4374;4397;4638;4822;4948;4947
ICD10-J95;    Kh. der Atemwege nach medizinischen Maßnahmen;198;211;221;225;192;193;231;239;233;194
ICD10-J96;    Respiratorische Insuffizienz, ao. n. klass.;3871;3829;3626;3917;3957;3997;4177;4365;4541;4565
ICD10-J98;    Sonstige Krankheiten der Atemwege;223;182;214;199;225;207;230;218;174;188
ICD10-J99;    Krankheiten der Atemwege bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-K00-K93;Krankheiten des Verdauungssystems;40972;40720;39136;38411;38379;36893;37322;36617;36253;35550
ICD10-K00-K14;  Kh. d. Mundhöhle, d. Speicheldrüsen u.d. Kiefer;170;137;163;177;184;143;170;211;190;213
ICD10-K00;    Störungen d. Zahnentwicklung u.d. Zahndurchbruchs;-;-;-;-;-;-;-;-;-;-
ICD10-K01;    Retinierte und impaktierte Zähne;-;1;-;1;1;-;1;-;-;-
ICD10-K02;    Zahnkaries;-;5;8;6;7;3;4;6;3;8
ICD10-K03;    Sonstige Krankheiten der Zahnhartsubstanzen;-;-;-;-;-;-;-;-;-;1
ICD10-K04;    Krankheiten der Pulpa und des periapikalen Gewebes;14;8;3;13;9;9;7;15;7;10
ICD10-K05;    Gingivitis und Krankheiten des Parodonts;1;3;4;3;3;3;5;1;1;2
ICD10-K06;    Sonst. Kh. d. Gingiva u.d. zahnlosen Alveoarkammes;-;1;1;1;1;-;-;-;3;-
ICD10-K07;    Dentofaziale Anomalien;-;-;4;2;2;1;-;4;-;1
ICD10-K08;    Sonst. Kh. der Zähne und des Zahnhalteapparates;14;7;11;7;5;5;4;10;9;6
ICD10-K09;    Zysten der Mundregion, ao. nicht klassifizert;-;1;1;-;-;-;-;2;-;1
ICD10-K10;    Sonstige Krankheiten der Kiefer;11;16;13;14;19;11;25;34;32;31
ICD10-K11;    Krankheiten der Speicheldrüsen;78;65;71;75;88;59;70;74;74;91
ICD10-K12;    Stomatitis und verwandte Krankheiten;42;20;35;46;40;43;47;55;51;50
ICD10-K13;    Sonstige Krankheiten der Lippe und der Mundschleim;5;6;8;4;6;3;2;6;6;9
ICD10-K14;    Krankheiten der Zunge;5;4;4;5;3;6;5;4;4;3
ICD10-K20-K31;  Kh. des Ösophagus, des Magens und des Duodenums;6095;5971;5711;5466;5249;4820;4984;4632;4910;4769
ICD10-K20;    Ösophagitis;52;40;34;28;36;34;37;36;32;31
ICD10-K21;    Gastroösophageale Refluxkrankheit;387;389;368;364;342;338;315;312;326;301
ICD10-K22;    Sonstige Krankheiten des Ösophagus;586;615;565;580;540;553;550;549;539;573
ICD10-K23;    Krankheiten des Ösophagus bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-K25;    Ulcus ventriculi;2068;2051;1900;1711;1704;1446;1481;1376;1427;1396
ICD10-K26;    Ulcus duodeni;1900;1838;1846;1775;1658;1479;1618;1445;1606;1530
ICD10-K27;    Ulcus pepticum, Lokalisation nicht näher bezeichn.;27;31;20;17;19;17;13;14;16;26
ICD10-K28;    Ulcus pepticum jejuni;44;48;41;52;57;32;40;41;45;50
ICD10-K29;    Gastritis und Duodenitis;659;631;587;603;567;547;553;530;587;506
ICD10-K30;    Funktionelle Dyspepsie;2;1;1;1;-;-;-;1;-;1
ICD10-K31;    Sonstige Krankheiten des Magens und des Duodenums;370;327;349;335;326;374;377;328;332;355
ICD10-K35-K38;  Krankheiten der Appendix;245;244;225;181;173;190;156;145;177;197
ICD10-K35;    Akute Appendizitis;235;232;210;171;165;187;146;138;174;192
ICD10-K36;    Sonstige Appendizitis;7;12;13;8;5;3;7;6;3;1
ICD10-K37;    Nicht näher bezeichnete Appendizitis;1;-;2;1;-;-;2;-;-;2
ICD10-K38;    Sonstige Krankheiten der Appendix;2;-;-;1;3;-;1;1;-;2
ICD10-K40-K46;  Hernien;984;1055;989;1006;1049;958;1108;1085;1021;1158
ICD10-K40;    Hernia inguinalis;259;319;285;286;315;282;327;296;282;332
ICD10-K41;    Hernia femoralis;86;80;72;92;91;75;95;62;85;87
ICD10-K42;    Hernia umbilicalis;108;121;114;114;134;126;131;123;109;118
ICD10-K43;    Hernia ventralis;406;404;404;385;391;373;420;438;395;448
ICD10-K44;    Hernia diaphragmatica;78;95;88;99;95;84;119;144;120;149
ICD10-K45;    Sonstige abdominale Hernien;40;29;19;22;17;12;8;16;21;20
ICD10-K46;    Nicht näher bezeichnete abdominale Hernien;7;7;7;8;6;6;8;6;9;4
ICD10-K50-K52;  Nichtinfektiöse Enteritis und Kolitis;1467;1221;1120;1040;1051;962;913;801;736;670
ICD10-K50;    Crohn-Krankheit (Morbus Crohn);81;81;75;78;76;84;96;72;76;82
ICD10-K51;    Colitis ulcerosa;130;158;142;132;152;120;136;121;108;125
ICD10-K52;    Sonst. nichtinfektiöse Gastroenteritis und Kolitis;1256;982;903;830;823;758;681;608;552;463
ICD10-K55-K64;  Sonstige Krankheiten des Darmes;14255;14089;13355;13185;13079;12576;12535;12096;11993;11483
ICD10-K55;    Gefäßkrankheiten des Darmes;4784;4532;4208;4074;4065;3896;3682;3466;3486;3369
ICD10-K56;    Paralytischer Ileus und mechan. Ileus ohne Hernie;5831;5824;5630;5562;5585;5304;5456;5277;5156;5020
ICD10-K57;    Divertikulose des Darmes;1823;1762;1683;1695;1612;1561;1580;1481;1505;1426
ICD10-K58;    Colon irritabile;8;2;2;-;2;4;5;1;1;1
ICD10-K59;    Sonstige funktionelle Darmstörungen;366;416;405;433;455;411;428;401;398;327
ICD10-K60;    Fissur und Fistel in der Anal- und Rektalregion;15;24;30;23;17;21;16;24;19;24
ICD10-K61;    Abszess in der Anal- und Rektalregion;68;71;62;81;62;64;58;60;66;70
ICD10-K62;    Sonstige Krankheiten des Anus und des Rektums;196;213;206;229;188;219;214;222;202;204
ICD10-K63;    Sonstige Krankheiten des Darmes;1164;1245;1129;1088;1049;1051;1016;1102;1102;1006
ICD10-K64;    Hämorrhoiden und Perianalvenenthrombose;-;-;-;-;44;45;80;62;58;36
ICD10-K65-K67;  Krankheiten des Peritoneums;1229;1272;1162;1062;1142;1145;1124;1159;1129;1017
ICD10-K65;    Peritonitis;1077;1143;1035;921;992;1001;972;1030;973;854
ICD10-K66;    Sonstige Krankheiten des Peritoneums;152;129;127;141;150;144;152;129;156;163
ICD10-K67;    Kh. des Peritoneums bei ao. klass. Infektions-Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-K70-K77;  Krankheiten der Leber;9141;9236;8977;8755;8942;8669;8631;8619;8522;8376
ICD10-K70;    Alkoholische Leberkrankheit;4657;4557;4431;4244;4521;4268;4228;4327;4297;4133
ICD10-K71;    Toxische Leberkrankheit;134;124;134;139;134;127;145;138;95;125
ICD10-K72;    Leberversagen, anderenorts nicht klassifiziert;1613;1692;1658;1642;1617;1576;1540;1525;1521;1535
ICD10-K73;    Chronische Hepatitis, ao. nicht klassifizert;4;3;-;-;-;2;1;1;1;5
ICD10-K74;    Fibrose und Zirrhose der Leber;1800;1870;1809;1673;1824;1788;1845;1754;1749;1736
ICD10-K75;    Sonstige entzündliche Leberkrankheiten;172;182;164;180;186;204;183;194;197;200
ICD10-K76;    Sonstige Krankheiten der Leber;761;808;781;877;660;704;689;680;662;642
ICD10-K77;    Leberkrankheiten bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-K80-K87;  Kh. d. Gallenblase, d. Gallenwege u.d. Pankreas;4375;4314;4338;4326;4250;4262;4299;4418;4229;4163
ICD10-K80;    Cholelithiasis;1311;1266;1275;1341;1339;1302;1381;1414;1368;1396
ICD10-K81;    Cholezystitis;366;384;385;391;390;416;413;415;430;419
ICD10-K82;    Sonstige Krankheiten der Gallenblase;127;101;140;116;132;130;104;124;137;121
ICD10-K83;    Sonstige Krankheiten der Gallenwege;903;875;892;844;866;841;895;924;827;782
ICD10-K85;    Akute Pankreatitis;1556;1564;1513;1504;1387;1458;1389;1417;1337;1325
ICD10-K86;    Sonstige Krankheiten des Pankreas;112;124;133;130;136;115;117;124;130;120
ICD10-K87;    Kh. d. Gallenblase, d. Gallenwege u.d. Pankreas;-;-;-;-;-;-;-;-;-;-
ICD10-K90-K93;  Sonstige Krankheiten des Verdauungssystems;3011;3181;3096;3213;3260;3168;3402;3451;3346;3504
ICD10-K90;    Intestinale Malabsorption;12;12;15;9;9;5;2;10;6;7
ICD10-K91;    Kh. d.Verdauungssystems nach med.Maßn.,ao.n.klass.;262;242;234;228;221;210;214;213;189;194
ICD10-K92;    Sonstige Krankheiten des Verdauungssystems;2737;2927;2847;2976;3030;2953;3186;3228;3151;3303
ICD10-K93;    Kh. sonstiger Verdauungsorgane bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;2312;2364;2388;2396;2587;2558;2673;2631;2554;2649
ICD10-L00-L08;  Infektionen der Haut und der Unterhaut;633;670;642;603;687;681;689;772;726;670
ICD10-L00;    Staphylococcal scalded skin syndrome (SSS-Syndrom);-;1;1;3;2;-;1;2;6;4
ICD10-L01;    Impetigo;1;1;5;-;3;4;-;3;3;2
ICD10-L02;    Hautabszess, Furunkel und Karbunkel;232;247;250;242;255;234;257;297;261;226
ICD10-L03;    Phlegmone;364;398;352;331;396;402;400;425;418;390
ICD10-L04;    Akute Lymphadenitis;2;4;2;-;3;4;2;3;4;4
ICD10-L05;    Pilonidalzyste;4;3;2;2;1;3;2;3;2;10
ICD10-L08;    Sonstige lokale Infektionen d. Haut u.d. Unterhaut;30;16;30;25;27;34;27;39;32;34
ICD10-L10-L14;  Bullöse Dermatosen;60;55;65;65;58;50;65;60;61;58
ICD10-L10;    Pemphiguskrankheiten;8;6;3;8;5;7;11;7;10;6
ICD10-L11;    Sonstige akantholytische Dermatosen;-;-;-;-;-;-;-;-;-;-
ICD10-L12;    Pemphigoidkrankheiten;50;48;60;57;50;40;53;52;48;48
ICD10-L13;    Sonstige bullöse Dermatosen;2;1;2;-;3;3;1;1;3;4
ICD10-L14;    Bullöse Dermatosen bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-L20-L30;  Dermatitis und Ekzem;57;75;62;62;67;57;90;69;70;80
ICD10-L20;    Atopisches (endogenes) Ekzem;8;7;4;7;-;5;11;11;5;4
ICD10-L21;    Seborrhoisches Ekzem;-;2;-;1;1;1;-;-;-;-
ICD10-L22;    Windeldermatitis;-;1;2;-;-;-;1;1;-;2
ICD10-L23;    Allergische Kontaktdermatitis;-;4;3;4;5;3;7;1;2;1
ICD10-L24;    Toxische Kontaktdermatitis;-;2;3;2;-;2;2;7;3;2
ICD10-L25;    Nicht näher bezeichnete Kontaktdermatitis;-;-;-;1;-;2;-;-;-;1
ICD10-L26;    Exfoliative Dermatitis;-;2;2;-;-;1;1;1;1;1
ICD10-L27;    Dermatitis d.oral,enteral o.parenteral aufgen.Sub.;18;26;19;24;24;17;22;16;22;21
ICD10-L28;    Lichen simplex chronicus und Prurigo;3;4;7;3;6;4;8;4;9;6
ICD10-L29;    Pruritus;5;1;4;2;1;3;5;2;2;6
ICD10-L30;    Sonstige Dermatitis;23;26;18;18;30;19;33;26;26;36
ICD10-L40-L45;  Papulosquamöse Hautkrankheiten;19;18;22;24;25;20;23;15;24;27
ICD10-L40;    Psoriasis;15;17;19;21;24;20;21;14;21;26
ICD10-L41;    Parapsoriasis;2;-;-;-;-;-;-;-;-;1
ICD10-L42;    Pityriasis rosea;1;-;-;-;-;-;-;-;-;-
ICD10-L43;    Lichen ruber planus;1;-;1;2;-;-;-;-;1;-
ICD10-L44;    Sonstige papulosquamöse Hautkrankheiten;-;1;2;1;1;-;2;1;2;-
ICD10-L45;    Papulosquamöse Hautkrankheiten bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-L50-L54;  Urtikaria und Erythem;38;42;65;55;63;58;54;59;49;56
ICD10-L50;    Urtikaria;1;1;1;2;3;1;-;1;1;1
ICD10-L51;    Erythema exsudativum multiforme;36;38;55;51;53;51;50;52;42;45
ICD10-L52;    Erythema nodosum;-;-;1;-;-;-;-;1;-;-
ICD10-L53;    Sonstige erythematöse Krankheiten;1;3;8;2;7;6;4;5;6;10
ICD10-L54;    Erythem bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-L55-L59;  Kh.d. Haut u.d. Unterhaut durch Strahleneinwirkung;8;6;6;1;7;5;6;4;1;6
ICD10-L55;    Dermatitis solaris acuta;2;-;-;-;-;-;-;1;-;-
ICD10-L56;    Sonst. akute Hautveränderungen durch UV-Strahlen;1;1;2;-;-;1;3;-;-;-
ICD10-L57;    Hautveränderung durch nichtionisiernde Strahlen;1;1;2;-;2;2;1;1;1;2
ICD10-L58;    Radiodermatitis;4;1;1;-;2;2;1;-;-;2
ICD10-L59;    Sonst. Kh. d. Haut u.d. Unterhaut (Strahleneinw.);-;3;1;1;3;-;1;2;-;2
ICD10-L60-L75;  Krankheiten der Hautanhangsgebilde;11;2;9;8;13;9;8;7;9;8
ICD10-L60;    Krankheiten der Nägel;3;-;3;-;2;1;-;1;-;1
ICD10-L62;    Krankheiten der Nägel bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-L63;    Alopecia areata;-;-;-;-;-;-;-;-;-;-
ICD10-L64;    Alopecia androgenetica;-;-;-;-;-;-;-;-;-;-
ICD10-L65;    Sonstiger Haarausfall ohne Narbenbildung;-;-;-;-;-;-;-;-;-;-
ICD10-L66;    Narbige Alopezie (Haarausfall mit Narbenbildung);-;-;-;-;-;-;-;-;1;-
ICD10-L67;    Anomalien der Haarfarbe und des Haarschaftes;-;-;-;-;-;-;-;-;-;-
ICD10-L68;    Hypertrichose;-;-;-;-;-;-;-;-;-;-
ICD10-L70;    Akne;-;-;-;-;-;-;-;-;-;-
ICD10-L71;    Rosazea;-;-;-;-;-;-;-;1;1;-
ICD10-L72;    Follikuläre Zysten der Haut und der Unterhaut;4;1;3;5;7;4;3;4;6;3
ICD10-L73;    Sonstige Krankheiten der Haarfollikel;2;-;3;2;2;3;5;1;1;3
ICD10-L74;    Krankheiten der ekkrinen Schweißdrüsen;2;1;-;1;2;1;-;-;-;1
ICD10-L75;    Krankheiten der apokrinen Schweißdrüsen;-;-;-;-;-;-;-;-;-;-
ICD10-L80-L99;  Sonstige Krankheiten der Haut und der Unterhaut;1486;1496;1517;1578;1667;1678;1738;1645;1614;1744
ICD10-L80;    Vitiligo;-;-;-;-;-;-;-;-;-;-
ICD10-L81;    Sonstige Störungen der Hautpigmentierung;-;-;1;-;-;-;-;1;-;-
ICD10-L82;    Seborrhoische Keratose;1;-;1;-;-;-;-;-;-;-
ICD10-L83;    Acanthosis nigricans;-;-;-;-;2;-;-;-;-;-
ICD10-L84;    Hühneraugen und Horn- (Haut-) Schwielen;-;-;-;2;-;-;1;-;-;-
ICD10-L85;    Sonstige Epidermisverdickung;-;1;1;1;3;1;-;-;1;-
ICD10-L86;    Keratom bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-L87;    Störungen der transepidermalen Elimination;1;2;3;3;4;1;2;2;3;4
ICD10-L88;    Pyoderma gangraenosum;19;15;16;20;31;36;21;27;26;31
ICD10-L89;    Dekubitalgeschwür;1238;1210;1269;1328;1370;1368;1455;1398;1417;1501
ICD10-L90;    Atrophische Hautkrankheiten;-;1;1;1;2;1;-;3;1;1
ICD10-L91;    Hypertrophe Hautkrankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-L92;    Granulomatöse Kh. der Haut und der Unterhaut;1;2;1;2;2;2;1;-;-;3
ICD10-L93;    Lupus erythematodes;1;4;3;1;3;3;3;-;3;5
ICD10-L94;    Sonstige lokalisierte Krankheiten des Bindegewebes;1;1;3;1;1;1;1;4;-;1
ICD10-L95;    Vaskulitis, auf die Haut begrenzt;10;12;11;-;7;13;10;5;5;5
ICD10-L97;    Ulcus cruris, anderenorts nicht klassifiziert;171;196;179;181;201;213;194;164;111;155
ICD10-L98;    Sonst. Kh. d. Haut u.d. Unterhaut, ao.n.klass.;43;52;28;38;41;39;50;41;47;38
ICD10-L99;    Sonst. Kh. d. Haut u.d. Unterhaut bei ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;4002;4176;4111;4120;4430;4381;4719;4650;4704;5126
ICD10-M00-M03;  Infektiöse Arthropathien;225;258;238;263;266;325;326;334;373;433
ICD10-M00;    Eitrige Arthritis;223;254;232;262;263;323;324;331;371;430
ICD10-M01;    Dir.Gelenkinfektionen.b.ao.kl.infekt.u.paras.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M02;    Reaktive Arthritiden;2;4;6;1;3;2;2;3;2;3
ICD10-M03;    Postinfekt. u. reaktive Arthritiden b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M05-M14;  Entzündliche Polyarthropathien;105;120;124;116;130;98;128;120;142;127
ICD10-M05;    Seropositive chronische Polyarthritis;26;26;27;25;34;20;22;23;25;26
ICD10-M06;    Sonstige chronische Polyarthritis;31;37;33;34;25;18;26;24;25;32
ICD10-M07;    Arthritis psoriatica/Arthritiden b. gastroint. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M08;    Juvenile Arthritis;2;-;-;2;-;2;-;2;1;1
ICD10-M09;    Juvenile Arthritis bei ao. klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-M10;    Gicht;22;32;42;35;48;40;55;50;65;54
ICD10-M11;    Sonstige Kristall-Arthropathien;1;-;1;3;-;-;1;1;1;2
ICD10-M12;    Sonstige näher bezeichnete Arthropathien;3;-;1;-;2;1;-;2;3;1
ICD10-M13;    Sonstige Arthritis;20;25;20;17;21;17;24;18;22;11
ICD10-M14;    Arthropathien bei sonstigen ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M15-M19;  Arthrose;520;551;540;537;491;508;533;466;487;517
ICD10-M15;    Polyarthrose;6;4;6;7;10;1;2;4;2;4
ICD10-M16;    Koxarthrose (Arthrose des Hüftgelenkes);288;319;308;329;292;312;307;285;299;298
ICD10-M17;    Gonarthrose (Arthrose des Kniegelenkes);204;206;204;165;165;167;190;151;154;159
ICD10-M18;    Rhizarthrose (Arthrose des Daumensattelgelenkes);2;-;-;-;-;-;2;-;-;-
ICD10-M19;    Sonstige Arthrose;20;22;22;36;24;28;32;26;32;56
ICD10-M20-M25;  Sonstige Gelenkkrankheiten;87;75;98;100;98;106;86;91;81;127
ICD10-M20;    Erworbene Deformitäten der Finger und Zehen;2;1;2;8;5;8;3;1;3;13
ICD10-M21;    Sonstige erworbene Deformitäten der Extremitäten;-;1;4;4;2;1;2;2;1;5
ICD10-M22;    Krankheiten der Patella;2;-;1;-;1;-;-;1;-;8
ICD10-M23;    Binnenschädigung des Kniegelenkes;5;1;13;5;7;2;3;1;2;9
ICD10-M24;    Sonstige näher bezeichnete Gelenkschädigungen;10;9;8;7;7;9;10;13;12;9
ICD10-M25;    Sonstige Gelenkkrankheiten,andernorts nicht klass.;68;63;70;76;76;86;68;73;63;83
ICD10-M30-M36;  Systemkrankheiten des Bindegewebes;250;282;243;235;241;259;261;252;244;269
ICD10-M30;    Panarteriitis nodosa und verwandte Zustände;8;2;7;6;6;5;4;6;7;12
ICD10-M31;    Sonstige nekrotisierende Vaskulopathien;127;138;119;123;121;140;142;119;132;133
ICD10-M32;    Systemischer Lupus erythematodes;33;34;30;24;24;24;16;21;21;20
ICD10-M33;    Dermatomyositis-Polymyositis;18;24;23;15;26;23;16;17;19;21
ICD10-M34;    Systemische Sklerose;40;46;44;34;38;41;53;47;38;52
ICD10-M35;    Sonst. Kh. mit Systembeteiligung des Bindegewebes;24;38;20;33;26;26;30;42;27;31
ICD10-M36;    Systemkrankheiten d. Bindegewebes bei ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M40-M43;  Deformitäten der Wirbelsäule und des Rückens;63;68;62;63;70;72;76;72;71;77
ICD10-M40;    Kyphose und Lordose;7;1;3;5;6;12;6;8;6;12
ICD10-M41;    Skoliose;10;17;16;18;11;9;10;8;5;8
ICD10-M42;    Osteochondrose der Wirbelsäule;29;19;19;11;29;24;24;32;29;23
ICD10-M43;    Sonst. Deformitäten der Wirbelsäule u. des Rückens;17;31;24;29;24;27;36;24;31;34
ICD10-M45-M49;  Spondylopathien;533;640;605;620;728;702;819;851;922;961
ICD10-M45;    Spondylitis ankylosans;4;9;5;3;2;5;7;7;6;4
